question,option 1,option 2,option 3,option 4,answer,explanation,category,option 5
Which TS specification defines the Proximity-based Services (ProSe) architecture? [3GPP Release 14],TS 23.401,TS 23.228,TS 23.303,TS 23.468,option 3: TS 23.303,The common functional architecture to support mission critical services utilizes the Proximity-based Services (ProSe) architecture defined in TS 23.303.,Standards overview,
Which parameter in SL-TxProfileList-r17 indicates compatibility with DRX? [3GPP Release 17],spare1,spare2,drx-Compatible,drx-Incompatible,option 3: drx-Compatible,The parameter drx-Compatible in SL-TxProfileList-r17 indicates compatibility with DRX.,Standards specifications,
"In the context of pathloss models, what is O2I? [3GPP Release 17]",Over-to-Inaction,Out-of-Office,On-to-Infinity,Outdoor to Indoor,option 4: Outdoor to Indoor,O2I stands for Outdoor to Indoor in the context of pathloss models.,Standards specifications,
What is true about services not mentioned within the interaction clause? [3GPP Release 17],They have no impact on other supplementary services,They are mandatory for IMS Multimedia Telephony service,They are optional for IMS Multimedia Telephony service,They are applicable to UE accessing IMS via 3GPP accesses,option 1: They have no impact on other supplementary services,"In general, if a service is not mentioned within the interaction clause, then there is no impact.",Standards specifications,They are applicable to CEPT members
What does the 5G system need to support for a UE accessing multiple network slices? [3GPP Release 17],Access to the most suitable network slice in minimum time,Minimization of power consumption,Minimization of service interruption time,All of the above,option 4: All of the above,"For a UE authorized to access multiple network slices, the 5G system needs to support accessing the most suitable network slice in minimum time, minimize power consumption, and minimize service interruption time.",Standards specifications,None of the above
What QoS characteristics does the MPS system support? [3GPP Release 18],"Specific QoS characteristics for MPS Voice, Video, and Data",Equal QoS characteristics for all MPS sessions,No QoS characteristics for MPS sessions,Priority QoS characteristics for MPS sessions,"option 1: Specific QoS characteristics for MPS Voice, Video, and Data","The MPS system supports the selection, enforcement, and maintenance of specific QoS characteristics for MPS Voice, Video, and Data sessions.",Standards specifications,Higher QoS characteristics for MPS Voice than Video or Data
What are the key functionalities supported by the common services core in MC services? [3GPP Release 14],Group management,User authentication,Service configurations,All of the above,option 4: All of the above,"The common services core supports group management, user authentication, and service configurations.",Standards overview,
What does the 5G system prevent in terms of privacy for UEs using 5G LAN-type service? [3GPP Release 17],Sharing of UE's identifying information,Sharing of UE's IP address,Sharing of UE's location information,Sharing of UE's communication history,option 1: Sharing of UE's identifying information,"The 5G system prevents the sharing of a UE's identifying information, such as SUPI and MSISDN, on private communication among UEs using 5G LAN-type service.",Standards specifications,All of the above
Which 3GPP specification specifies the architecture for enabling Edge Applications in 5GS? [3GPP Release 18],TS 23.501,TS 23.502,TS 23.558,TS 23.548,option 3: TS 23.558,TS 23.558 specifies the architecture for enabling Edge Applications in 5GS.,Standards specifications,
What is associated with a time and/or date setting in the IMS Multimedia Telephony service? [3GPP Release 17],Media capabilities,Caller identity verification results,"Activation, deactivation, and invocation of services",Allow/block lists for service activation,"option 3: Activation, deactivation, and invocation of services","The activation, deactivation, and invocation of services can be associated with a time and/or date setting in the IMS Multimedia Telephony service.",Standards specifications,
What is the purpose of the EAS discovery in the application layer architecture? [3GPP Release 18],To provide mechanisms for an EEC to discover available EASs,To provide relevant configuration information of the EASs to the EEC,To support exposure of 3GPP network's capabilities to the EASs,To support exposure of EES's capabilities to the EASs,option 1: To provide mechanisms for an EEC to discover available EASs,The EAS discovery specifies the requirements for providing mechanisms for an EEC to discover available EASs.,Standards specifications,To support exposure of EAS's capabilities to the other EASs
